Sigma Colour,Sigma Space,Average Similarity
50,4.7,-10.240374852799262
60,0.5,-14.71322524579809
60,0.6,-13.76626305440214
60,0.8,-12.469561137235685
60,0.9,-12.010964822605834
60,0.7,-13.037157347011666
60,1.0,-11.632145905579108
60,1.2,-11.048672022764931
60,1.3,-10.822754251904884
60,1.4,-10.630408202425794
60,1.1,-11.31542173543273
60,1.5,-10.466006418521536
60,1.6,-10.325022552895012
60,1.8,-10.099292027892906
60,1.7,-10.203736854162914
60,2.0,-9.931534025885318
60,2.1,-9.86457268576565
60,2.2,-9.806818299671514
60,2.3,-9.757101749061617
60,1.9,-10.009206578337967
60,2.4,-9.71435794381094
60,2.7,-9.618740193231671
60,3.1,-9.54279201496079
60,3.4,-9.508847807294755
60,2.6,-9.64591683915488
60,3.7,-9.486601933688243
60,2.5,-9.677570056418325
60,2.8,-9.595330090313597
60,2.9,-9.57516955785235
60,3.2,-9.529813559912514
60,3.0,-9.557776377045204
60,4.0,-9.471723536663063
60,3.6,-9.49303641930085
60,3.5,-9.500373121249977
60,3.3,-9.518583062700708
60,3.8,-9.480948671850266
60,3.9,-9.47603864701171
60,4.2,-9.464579742342247
60,4.3,-9.461611381965973
60,4.1,-9.467919102127459
60,4.6,-9.4546139364721
60,4.4,-9.459003284800426
70,0.1,-16.364855488549825
60,4.7,-9.452799037460938
60,4.5,-9.456677482447134
60,4.8,-9.451182543815857
70,0.6,-13.221420917682602
60,4.9,-9.449740607313453
70,0.0,-10.846933958739898
70,0.5,-14.340635450860852
70,0.4,-15.592899349427663
70,0.2,-16.364855488549825
70,0.3,-16.364788870148956
70,0.7,-12.384159289326961
70,0.8,-11.749739293994379
70,0.9,-11.249986496413102
70,1.9,-9.27188379545444
70,1.0,-10.846933958739896
70,1.6,-9.550491572893995
70,1.7,-9.441086686551227
70,1.1,-10.517819644400182
70,1.2,-10.247024131163768
70,2.2,-9.10769762446508
70,2.1,-9.152969489555526
70,1.3,-10.022922910223626
70,1.4,-9.83652393671635
70,1.5,-9.680889610589997
70,2.5,-9.013133984409412
70,1.8,-9.349119455015554
70,2.0,-9.207148007312933
70,2.7,-8.974558337463778
70,2.3,-9.070097357686693
70,2.8,-8.960404244901222
70,2.6,-8.991927553637284
70,2.9,-8.948912914690816
70,2.4,-9.038904347109403
70,3.0,-8.939658719276641
70,3.2,-8.926346283273167
70,3.3,-8.921717484389282
70,3.1,-8.932232074549283
70,4.0,-8.909987195721113
70,3.7,-8.911852034721742
70,3.4,-8.918094962006453
70,3.5,-8.91535901465808
70,3.6,-8.913300987586311
70,4.4,-8.9110739698975
70,4.1,-8.909985666513977
70,4.5,-8.911664577208834
70,3.9,-8.910269712771088
70,3.8,-8.910871744159264
70,4.6,-8.91234424363891
70,4.3,-8.91058515275118
70,4.9,-8.914684433238584
70,4.8,-8.9138605609881
80,0.1,-16.364855488549825
70,4.7,-8.913077019591586
70,4.2,-8.910198004068262
80,0.3,-16.364297872956474
80,0.0,-10.18895077574297
80,0.2,-16.364855488549825
80,0.9,-10.59912745028193
80,0.7,-11.79932616360599
80,1.2,-9.599191036725397
80,0.4,-15.446988431320483
80,1.9,-8.728607429267134
80,0.8,-11.120369814776085
80,0.5,-13.989524280274692
80,1.0,-10.18895077574297
80,1.4,-9.214530633098528
80,0.6,-12.720806435690989
80,2.1,-8.638915409256256
80,1.8,-8.79027314094659
80,1.1,-9.861982177127862
80,1.6,-8.959708180502574
80,1.7,-8.86635606935222
80,1.3,-9.386854038036006
80,2.2,-8.6072956334776
80,1.5,-9.07420798288033
80,2.3,-8.582549321004514
80,2.4,-8.563482907147007
80,2.0,-8.678806555318374
80,2.8,-8.526051001312133
80,2.5,-8.5490833794847
80,3.1,-8.52166882808719
80,2.9,-8.523131919503554
80,3.3,-8.524234493723224
80,2.6,-8.538510541877777
80,3.0,-8.521744267208808
80,2.7,-8.531010950266035
80,3.8,-8.538753934507094
80,3.2,-8.522563969856437
80,3.5,-8.52917679594425
80,3.9,-8.542217392890839
80,3.4,-8.526480078844015
80,3.7,-8.53539454157926
80,4.2,-8.552663692575733
80,3.6,-8.532199816215758
80,4.0,-8.54572270604431
80,4.1,-8.54921347850155
80,4.3,-8.556111864179485
80,4.4,-8.559470077130879
80,4.8,-8.57212411802846
80,4.5,-8.562775725571216
80,4.9,-8.575077239247113
80,4.6,-8.565990320044746
90,0.0,-9.653498727509172
90,0.2,-16.364855488549825
80,4.7,-8.569097261510677
90,1.2,-9.091762920996015
90,1.0,-9.653498727509174
90,0.1,-16.364855488549825
90,0.6,-12.271917914235123
90,0.3,-16.362242856676612
90,0.5,-13.66579454237508
90,1.1,-9.338613473921336
90,0.4,-15.30996363534846
90,0.8,-10.584694856822397
90,1.9,-8.344923935014645
90,0.7,-11.288897441866107
90,1.7,-8.44972060062769
90,1.4,-8.743277160951708
90,1.5,-8.621582528949213
90,1.8,-8.390582731841667
90,2.1,-8.284818871817222
90,1.6,-8.525408162846317
90,2.8,-8.24842331336284
90,2.5,-8.243460681682233
90,2.3,-8.254389173712976
90,2.7,-8.244767407700339
90,1.3,-8.897145803138107
90,0.9,-10.057954781016903
90,2.4,-8.247033396359948
90,2.2,-8.266608750459767
90,3.1,-8.266131203940441
90,2.0,-8.310347064195332
90,2.6,-8.242922691795698
90,2.9,-8.253425228205328
90,3.2,-8.273314424290236
90,3.8,-8.318254763623097
90,3.0,-8.259421593327586
90,3.5,-8.295917433905341
90,4.1,-8.33894731730081
90,3.3,-8.280713749652728
90,3.4,-8.288277985982768
90,4.0,-8.33227570933728
90,3.6,-8.303517471673052
90,3.9,-8.325390007083247
90,3.7,-8.310960752480819
90,4.2,-8.345374818299502
90,4.5,-8.3632327140436
90,4.6,-8.368701788437905
90,4.4,-8.357518532614742
90,4.8,-8.378934131408018
90,4.3,-8.351560916225564
100,0.0,-9.22741194909969
90,4.9,-8.383731338857782
100,0.1,-16.364855488549825
100,0.3,-16.357110848108647
90,4.7,-8.373933571157322
100,0.2,-16.364855488549825
100,0.9,-9.617565524038861
100,0.5,-13.372435339725058
100,0.4,-15.183082673530722
100,0.8,-10.137958120297316
100,0.7,-10.851840231994165
100,0.6,-11.87658079274352
100,1.0,-9.22741194909969
100,1.3,-8.530474129773195
100,1.4,-8.397083973430867
100,1.1,-8.931042166198848
100,1.5,-8.295039504976286
100,1.6,-8.217552224699011
100,1.2,-8.70438723283693
100,1.7,-8.159633827170937
100,2.1,-8.055199022763619
100,1.8,-8.117146478952415
100,1.9,-8.087157515277362
100,2.0,-8.067174042778772
100,2.2,-8.049662102369632
100,2.7,-8.078190181131356
100,3.3,-8.152916713389502
100,2.6,-8.06781785485744
100,2.8,-8.089691797773161
100,3.0,-8.114599364874241
100,2.5,-8.059069350781831
100,2.4,-8.052609810512502
100,2.3,-8.049151537675455
100,2.9,-8.101937656775478
100,3.1,-8.127426581865834
100,3.6,-8.18909281209996
100,3.5,-8.177385858391906
100,3.4,-8.1653219856216
100,3.2,-8.140248518066
100,4.2,-8.250152317497012
100,3.9,-8.221609544589203
100,3.7,-8.200385927433755
100,3.8,-8.211243911903615
100,4.0,-8.231558957782157
100,4.6,-8.28238404069905
100,4.1,-8.241085849455832
110,0.0,-8.894526054366624
100,4.3,-8.258809963386655
100,4.4,-8.267058173325353
100,4.9,-8.30276309633099
100,4.5,-8.27489932843149
110,0.3,-16.348132862426432
110,0.4,-15.066833040170033
100,4.8,-8.296273453433981
100,4.7,-8.289508151107933
110,0.6,-11.532829219882546
110,0.1,-16.364855488549825
110,0.2,-16.364855488549825
110,1.0,-8.894526054366624
110,1.2,-8.415574532328245
110,0.8,-9.770877534827507
110,0.5,-13.10984251473531
110,0.7,-10.482654552679291
110,1.6,-8.008813349866125
110,0.9,-9.264862713392128
110,1.1,-8.62002905557056
110,1.4,-8.15061469576313
110,1.8,-7.941115132978794
110,1.3,-8.26336569368455
110,1.5,-8.068009090411508
110,1.9,-7.925822770586375
110,2.1,-7.920074099980645
110,2.0,-7.919434600371928
110,1.7,-7.967802713061097
110,2.4,-7.949782276885081
110,2.6,-7.982524622986417
110,2.2,-7.926121743810033
110,2.8,-8.019272147776823
110,2.7,-8.000639198000385
110,2.9,-8.038081406140778
